RUN,A,B,C,D,TR,TE,COT,EXP,RED,ENERGY
1,1,1,1,-1,4.92,1.87,4.35,5.81,4.87,160.32
2,1,1,-1,-1,5.01,2.2,4.43,5.63,5.26,177.95
3,1,-1,1,1,5.27,2.28,3.64,5.94,6.01,132.31
4,-1,1,-1,1,4.13,2.45,2.79,5.4,5.33,85.86
5,1,-1,-1,1,5.6,2.53,4.67,5.22,5.97,147.02
6,-1,-1,1,-1,4.69,2.38,4.72,5.71,5.87,63.93
7,-1,1,1,1,4.1,2.82,6.13,5.96,5.96,88.06
8,-1,-1,-1,-1,4.69,2.49,6.3,5.51,6.03,75.14
9 (C),0,0,0,0,6.02,3.6,5.83,6.12,6.01,131.9
10,-2,0,0,0,4.69,1.69,5.02,5.17,5.5,39.7
11,2,0,0,0,4.89,3.19,5.39,5.84,6.42,185.66
12,0,-2,0,0,5.24,2.67,4.13,5.07,5.79,77.17
13,0,2,0,0,5.92,2.86,4.29,5.28,5.64,133.98
14,0,0,-2,0,4.7,3.32,5.3,5.59,5.99,128.44
15,0,0,2,0,4.98,2.9,5.05,6.32,6.02,112.53
16,0,0,0,-2,3.34,1.83,3.26,5.79,4.34,121.08
17,0,0,0,2,4.19,2.52,5.39,5.89,5.58,121.44
18 (C),0,0,0,0,5.71,4.04,6.17,6.3,6.29,124.14
19 (C),0,0,0,0,5.37,3.96,6.3,6.01,5.92,134.31
