Run,t,W,P,C,TR,TE,COT,EXP,RED
1,1,1,1,-1,4.9,1.72,3.92,5.79,5.31
2,1,1,-1,-1,4.8,1.76,4.15,5.63,5.31
3,1,-1,1,1,5.25,1.77,3.46,5.95,6.09
4,-1,1,-1,1,5,00,2.24,5.06,5.91,5.05
5,1,-1,-1,1,5.57,2.59,4.19,5.61,6.12
6,-1,-1,1,-1,4.84,1.91,4.43,5.82,6.28
7,-1,1,1,1,4.6,2.19,5.63,6.09,5.94
8,-1,-1,-1,-1,4.6,2.81,4.71,5.46,6.26
9,0,0,0,0,5.82,2.59,5.46,6.26,6.26
10,-2,0,0,0,4.5,1.86,4.85,5.41,5.26
11,2,0,0,0,4.8,1.85,5.41,5.92,6.32
12,0,-2,0,0,5.06,2.64,3.81,5.3,5.83
13,0,2,0,0,5.86,2.59,4.1,5.65,5.95
14,0,0,-2,0,5.01,3.65,4.86,5.76,5.91
15,0,0,2,0,5.17,2.85,4.42,6.1,5.94
16,0,0,0,-2,3.02,1.3,3.48,5.95,4.33
17,0,0,0,2,4.4,2.39,5.48,6.13,5.71
18,0,0,0,0,5.39,2.92,5.68,6.33,6.4
19,0,0,0,0,5.71,2.87,5.87,6.11,5.92
5-Teste,1,1,-1,1,5.44,2.73,5.58,6.31,6.43
7-Teste,-1,1,1,-1,4.74,1.7,4.02,5.6,5.43
4-Teste,1,-1,1,-1,4.1,1.43,3.83,5.82,5.12
L_Teste,2,1,-2,2,4.72,2.23,4.3,5.66,5.19
