Exp,X1,X2,X3,X4,TR,TE,COT,EXP,RED
1,1,1,1,-1,5.01,1.38,3.92,5.79,5.31
2,1,1,-1,-1,4.95,1.5,4.15,5.63,5.31
3,1,-1,1,1,5.07,1.55,3.46,5.95,6.09
4,-1,1,-1,1,5.34,2.09,5.06,5.91,5.05
5,1,-1,-1,1,5.74,2.41,4.19,5.61,6.12
6,-1,-1,1,-1,4.96,1.58,4.43,5.82,6.28
7,-1,1,1,1,4.63,1.96,5.63,6.09,5.94
8,-1,-1,-1,-1,4.77,2.38,4.71,5.46,6.26
9,0,0,0,0,5.9,2.59,5.46,6.26,6.26
10,-2,0,0,0,5.65,1.94,4.85,5.41,5.26
11,2,0,0,0,4.8,1.27,5.82,5.92,6.32
12,0,-2,0,0,5.22,2.31,3.91,5.3,5.83
13,0,2,0,0,5.82,2.41,3.89,5.65,5.95
14,0,0,-2,0,5.39,3.32,4.86,5.76,5.91
15,0,0,2,0,5.09,2.39,4.42,6.1,5.94
16,0,0,0,-2,2.98,1.23,3.25,5.95,4.33
17,0,0,0,2,4.53,2.39,5.48,6.13,5.71
18,0,0,0,0,5.86,2.92,5.68,6.33,6.4
19,0,0,0,0,5.39,2.87,5.87,6.11,5.92
11-R,2,0,0,0,4.88,1.29,5.7,5.86,6.26
2-R,1,1,-1,-1,4.78,1.14,4.18,5.46,5.55
5-Teste,1,1,-1,1,5.19,2.6,5.33,6.31,6.43
7-Teste,-1,1,1,-1,6.32,1.85,5.03,5.6,5.43
4-Teste,1,-1,1,-1,4.1,1.25,3.83,5.82,5.12
