Run,Time,Waviness,Period,Concetration,TR,TE,COT,EXP,RED
1,1,1,1,-1,4.9,1.72,3.92,5.79,4.95
2,1,1,-1,-1,4.7,2.05,4.15,5.63,5.24
3,1,-1,1,1,5.25,1.77,3.46,5.95,6.26
4,-1,1,-1,1,5.00,2.33,5.06,5.91,5.69
5,1,-1,-1,1,5.57,2.41,4.19,5.61,5.97
6,-1,-1,1,-1,4.84,2.02,4.43,5.82,5.7
7,-1,1,1,1,4.6,2.19,5.63,6.09,5.96
8,-1,-1,-1,-1,4.59,2.56,4.71,5.46,5.94
9,0,0,0,0,5.82,3.15,5.46,6.26,6.26
10,-2,0,0,0,4.64,1.65,4.85,5.41,5.5
11,2,0,0,0,4.8,1.78,5.41,5.92,6.32
12,0,-2,0,0,5.28,2.49,3.81,5.3,5.92
13,0,2,0,0,5.86,2.42,4.1,5.65,5.95
14,0,0,-2,0,5.18,3.34,4.86,5.76,5.91
15,0,0,2,0,5.17,2.74,4.42,6.1,5.9
16,0,0,0,-2,3.02,1.13,3.48,5.95,4.41
17,0,0,0,2,4.4,2.39,5.48,6.13,5.58
18,0,0,0,0,5.39,3.06,5.68,6.33,6.4
19,0,0,0,0,5.71,2.87,5.87,6.11,5.92
5-Teste,1,1,-1,1,5.5,3.03,5.58,6.31,6.31
7-Teste,-1,1,1,-1,4.74,1.7,4.02,5.6,5.01
4-Teste,1,-1,1,-1,4.1,1.43,3.83,5.82,5.07
L_Teste,2,1,-2,2,4.72,2.23,4.3,5.66,5.19
